time,pm1,pm2_5,pm10,sensor1,sensor2,sensor3,sensor4
2021-09-10 11:03:45,25.224603590821925,28.029153702216355,32.22421306609899,3.4704617581967216,2.8579314952176214,2.3698725061880133,1.8478917835371675
2021-09-10 11:04:00,25.23611769067229,28.04074801686072,32.23511930756527,3.4709581914514,2.863207201162051,2.3675335773748944,1.8492976820611668
2021-09-10 11:04:15,25.248050650773656,28.052678369709543,32.24618900449919,3.4717841937297145,2.868703292606042,2.365356664708053,1.850707014343789
2021-09-10 11:04:30,25.26046195406216,28.065005796683916,32.25748196607571,3.472952854266359,2.874412544118893,2.363351649998902,1.8521328608372534
2021-09-10 11:04:45,25.27341040417477,28.07779155135373,32.26905925548311,3.4744765221153036,2.8803240100835428,2.3615262946098166,1.8535861286462305
2021-09-10 11:05:00,25.286952277226323,28.09109559433373,32.280981698053544,3.476365500125122,2.886423575423052,2.3598862317516627,1.855074618334953
2021-09-10 11:05:15,25.301140997855004,28.104975870360086,32.29330931588578,3.4786276137395036,2.8926944531436334,2.3584359253548084,1.8566020812467565
2021-09-10 11:05:30,25.316026971148545,28.11948800746166,32.30610167959039,3.4812679598315865,2.899117712104487,2.357179257713361,1.8581675232098218
2021-09-10 11:05:45,25.33165667430673,28.13468460281836,32.31941727215672,3.4842883495292254,2.905672792083481,2.356119344821431,1.859765589228657
2021-09-10 11:06:00,25.3480702702494,28.150613633604465,32.33331149558632,3.4876868595000134,2.9123378058454907,2.355258630143954,1.8613879380641942
2021-09-10 11:06:15,25.365300531829217,28.167317036855238,32.347835900656925,3.49145796155084,2.919089656233491,2.3545997766267566,1.8630247582133608
2021-09-10 11:06:30,25.383372067248594,28.18482961862091,32.36303753600496,3.4955928898774733,2.9259035477789115,2.354146214433573,1.8646663884217904
2021-09-10 11:06:45,25.402300363506626,28.20317800625043,32.378957419107714,3.500079561404655,2.9327518880506216,2.353902024336934,1.8663044537316507
2021-09-10 11:07:00,25.422091948060423,28.222380088007,32.395629125406096,3.504902206964468,2.9396035139534615,2.353871738197135,1.8679323551880926
